Code	Name	Description
CSC 102	Computers for Today	Basic computer concepts including hardware, operating systems, application software (word processing, spreadsheets, and database manager), networks, and the Internet. Internet protocols, Internet, intranets and the Web, Web development, multimedia, r...
CSC 115	Introduction to Computer Technology	An introduction for non-science students to fundamental concepts in computers and technology including information representation, development and application of algorithms, network and communication principles, and critical evaluation of technology...
CSC 117	Computer Technology Lab	A laboratory experience illustrating the principles and topics in CSC 115. Not open to students who have taken CSC 119. (scientific analysis)
CSC 119	Computer Technology Concepts	An introduction to the concepts of representation, storage, usage, retrieval and protection of data in the digital world. (Flexible Core) Not open to students who have taken CSC 115.
CSC 126	Introduction to Computer Science	Computing and information processing. Basic computer structure. Programming methodology: analysis, design, documentation, implementation, and evaluation. An algorithmic approach to problem-solving. Computer solutions of several numerical and non-num...
CSC 135	Introduction to Information Systems	A hands-on laboratory course in the effective use of technology tools for problem solving. Students will understand how copyright laws apply to software and the need to acknowledge material from outside sources, including online material and the work...
CSC 140	Computational Problem Solving in Python	An introduction to computer programming using python, including basic computational concepts, and analytical techniques for problem solving. in liberal arts, physical and social science fields, and lab applications. Course includes an overview of the...
CSC 211	Intermediate Programming	A second course in programming. Programming techniques emphasizing reliability, maintainability, and reusability. Module design and multi-file programs. Abstract data types. Data representation and conversion. Addresses, pointers, and dynamic storage...
CSC 215	Assistive Technology for Universal Applications	An overview of the technological needs and the laws for accommodating persons with disabilities; descriptions of the technologies for persons with disabilities (blindness/visual impairments, audiological disabilities, physical disabilities, and cogni...
CSC 220	Computer Organization	An introduction to computer systems, organizations, their underlying subsystems and architectures. Specific topics include binary, octal, decimal and hexadecimal number systems, unsigned and signed integers, instruction set architectures, instruction...
CSC 221	Networking and Security	An introduction to computer networking and communication basics, incorporating principles and practice in secure computing. Specific topics include data communication basics, network structures, IP, TCP, application protocols, confidentiality, integr...
CSC 223	Cybersecurity Fundamentals	Fundamentals of cybersecurity including offensive and defensive skills developed through hands-on experience. Course includes identification and analysis of common cybersecurity vulnerabilities for potential attacks. This course provides a solid foun...
CSC 225	Introduction to Web Development and the Internet	An introduction to the Internet and Web page creation and management, using a markup language, a scripting language, a current editor, and a graphics program. Topics include incorporating graphics, sound, video and proper Web page development concept...
CSC 226	Web Database Applications	This course offers students a mixture of theoretical and practical information on creating Web database applications. Students will learn open source technologies that are often combined to develop these applications. Student will model and design...
CSC 227	Introductory Computer Game Programming	This course covers the process of game development. It also discusses the importance of testing, and how developers use the results of testing to improve their games. Students will be expected to develop simple games, or portions of games, using ap...
CSC 228	Discrete Mathematical Structures for Computer Science	A discrete mathematics course where concepts of discrete structures will be applied to computer science. Topics include elementary set theory, logic, functions, relations, Boolean algebra, elements of graph theory, matrix representation of graphs, ma...
CSC 229	Introduction to High Performance Computing	An introduction to High Performance Computing. Parallel memory architectures and programming models with an emphasis on the MPI programming model. Issues related to designing parallel programs will be discussed. Examples of how to parallelize simp...
CSC 235	Robotic Explorations	This course focuses on the theory behind robots and how it applies to existing platforms in the lab and in the field. Students will be introduced to the fundamentals of robotics. Concepts such as robot architectures, sensing, control, locomotion, a...
CSC 237	Introduction to Computational Linguistics	This course will introduce students to the software development techniques foundational to work in computationallinguistics and natural language processing. Relying heavily on the Python language, students will write programs to process text stored i...
CSC 245	Introduction to Data Science	Basic concepts in data science. Topics covered are data collection, integration, management, modeling, analysis, visualization, prediction and decision making, data security and data privacy. Important statistical methods will be explored. Emphasis w...
CSC 250	Serious Game Development	This course covers the process of serious game development including research games. It also discusses principles from game-based learning. Students will be expected to develop simple games, or portions of games, using appropriate game developing t...
CSC 270	Introduction to Scientific Computing	An introductory programming course with an emphasis on real-world engineering and scientific problem-solving. Operators, input/output, mathematical functions, control, structures, and arrays. Introduction to programming numerical techniques. Topics m...
CSC 300	Information Structures for Business	This course covers basic data structures. Topics covered in this course include classes, exception handling, dynamic memory management, and fundamental data structures including vectors, linked lists, and queues. Standard library classes will be used...
CSC 300X	Information Structures for Business	This course covers basic data structures. Topics covered in this course include classes, exception handling, dynamic memory management, and fundamental data structures including vectors, linked lists, and queues. Standard library classes will be used...
CSC 305	Operating Systems Programming Laboratory	Operating systems in practice. History of OS development. Methods of memory, process, file, and device management for specific OS. User command line interface. Developing software applications in OS environment.Prerequisite: (CSC 220 or ENS 362) and...
CSC 315	Introduction to Database Systems	This course is an introduction to database systems with an emphasis on database design and implementation, business data modeling and analysis using modern data modeling languages and tools (i.e. Entity Relationship or UML models), as well as SQL que...
CSC 326	Data Structures	Fundamental data structures and their implementations, including lists, stacks, queues, priority queues and trees. Recursion, ADTs (abstract data types), algorithms for searching and sorting, basic algorithm analysis.
CSC 330	Object-Oriented Software Design	Large-scale software design issues, object-oriented design paradigms, encapsulation, polymorphism, inheritance, re-usability, and specifics of an object-oriented language and associated development tools. Students will be required to implement a subs...
CSC 332	Operating Systems I	Introduction to operating systems. Task management and scheduling. Process and data management. Interrupts. Resource allocation and management. Time sharing. Deadlock mutual exclusion, and synchronization. Memory management. (liberal arts and science...
